开单日期,单据编号,收银员,总金额,应收金额,会员卡号,收现金,银行卡,购物券,储值卡,一卡通,微信,抹零金额,仓库,班次,POS机,业务员,支付宝
2018-04-21 16:42:47,5201804210536                 ,李璟璇,9,9,,0,0,0,0,9,0,0,南超,午班,pos5,,0
2018-04-22 12:12:45,5201804220159                 ,何明明,12.2,12.2,,0,0,0,0,12.2,0,0,南超,早班,pos5,,0
2018-04-23 20:40:28,5201804230773                 ,何明明,12.8,12.8,,0,0,0,0,12.8,0,0,南超,晚班,pos5,,0
2018-04-24 17:10:21,5201804260518                 ,李璟璇,6.5,6.5,,0,0,0,0,6.5,0,0,南超,午班,pos5,,0
2018-04-26 12:07:30,4201804260033                 ,何明明,3.4,3.4,,0,0,0,0,3.4,0,0,南超,早班,pos4,,0
2018-04-27 11:44:14,5201804280065                 ,何明明,12.8,12.8,,0,0,0,0,12.8,0,0,南超,早班,pos5,,0
2018-04-27 19:03:44,5201804300238                 ,何明明,4.8,4.8,,0,0,0,0,4.8,0,0,南超,晚班,pos5,,0
2018-04-27 20:26:59,5201804300372                 ,何明明,2.6,2.6,,0,0,0,0,2.6,0,0,南超,晚班,pos5,,0
2018-04-27 20:59:27,5201804300448                 ,何明明,4.2,4.2,,0,0,0,0,4.2,0,0,南超,晚班,pos5,,0
2018-04-28 17:16:17,5201804301299                 ,何明明,4,4,,0,0,0,0,4,0,0,南超,午班,pos5,,0
2018-04-28 19:47:59,5201804301517                 ,何明明,29.6,29.6,,0,0,0,0,29.6,0,0,南超,晚班,pos5,,0
2018-05-02 17:21:10,5201805020721                 ,何明明,4.8,4.8,,0,0,0,0,4.8,0,0,南超,午班,pos5,,0
2018-05-02 21:29:53,5201805021215                 ,何明明,6.9,6.9,,0,0,0,0,6.9,0,0,南超,晚班,pos5,,0
2018-05-02 21:46:33,5201805021250                 ,何明明,2.7,2.7,,0,0,0,0,2.7,0,0,南超,晚班,pos5,,0
2018-05-03 09:32:54,5201805030099                 ,何明明,4.3,4.3,,0,0,0,0,4.3,0,0,南超,早班,pos5,,0
2018-05-03 09:35:40,5201805030105                 ,何明明,4.3,4.3,,0,0,0,0,4.3,0,0,南超,早班,pos5,,0
2018-05-03 11:11:42,5201805030190                 ,何明明,3,3,,0,0,0,0,3,0,0,南超,早班,pos5,,0
2018-05-03 12:01:25,5201805030270                 ,何明明,7.5,7.5,,0,0,0,0,7.5,0,0,南超,早班,pos5,,0
2018-05-03 12:04:13,5201805030276                 ,何明明,3.2,3.2,,0,0,0,0,3.2,0,0,南超,早班,pos5,,0
2018-05-03 12:16:55,5201805030308                 ,何明明,12.2,12.2,,0,0,0,0,12.2,0,0,南超,早班,pos5,,0
2018-05-03 12:56:12,5201805030345                 ,何明明,4,4,,0,0,0,0,4,0,0,南超,午班,pos5,,0
2018-05-03 13:00:39,5201805030352                 ,何明明,4.3,4.3,,0,0,0,0,4.3,0,0,南超,午班,pos5,,0
2018-05-03 13:03:57,5201805030361                 ,何明明,15.2,15.2,,0,0,0,0,15.2,0,0,南超,午班,pos5,,0
2018-05-03 13:05:24,5201805030362                 ,何明明,11.6,11.6,,0,0,0,0,11.6,0,0,南超,午班,pos5,,0
2018-05-03 13:16:18,5201805030384                 ,何明明,2.4,2.4,,0,0,0,0,2.4,0,0,南超,午班,pos5,,0
2018-05-03 15:01:53,5201805030450                 ,何明明,3,3,,0,0,0,0,3,0,0,南超,午班,pos5,,0
2018-05-03 15:06:34,5201805030465                 ,何明明,2.5,2.5,,0,0,0,0,2.5,0,0,南超,午班,pos5,,0
2018-05-03 15:11:21,5201805030471                 ,何明明,5,5,,0,0,0,0,5,0,0,南超,午班,pos5,,0
2018-05-03 15:14:24,5201805030478                 ,何明明,3,3,,0,0,0,0,3,0,0,南超,午班,pos5,,0
2018-05-03 15:23:07,5201805030495                 ,何明明,3.7,3.7,,0,0,0,0,3.7,0,0,南超,午班,pos5,,0
2018-05-03 15:23:34,5201805030497                 ,何明明,6.4,6.4,,0,0,0,0,6.4,0,0,南超,午班,pos5,,0
2018-05-03 15:28:27,5201805030511                 ,何明明,6.7,6.7,,0,0,0,0,6.7,0,0,南超,午班,pos5,,0
2018-05-03 15:30:41,5201805030516                 ,何明明,7.8,7.8,,0,0,0,0,7.8,0,0,南超,午班,pos5,,0
2018-05-03 15:31:20,5201805030520                 ,何明明,7.4,7.4,,0,0,0,0,7.4,0,0,南超,午班,pos5,,0
2018-05-03 15:39:00,5201805030540                 ,何明明,3,3,,0,0,0,0,3,0,0,南超,午班,pos5,,0
2018-05-03 15:44:34,5201805030544                 ,何明明,5.6,5.6,,0,0,0,0,5.6,0,0,南超,午班,pos5,,0
2018-05-03 15:52:29,5201805030558                 ,何明明,14,14,,0,0,0,0,14,0,0,南超,午班,pos5,,0
2018-05-03 15:56:34,5201805030564                 ,何明明,1,1,,0,0,0,0,1,0,0,南超,午班,pos5,,0
2018-05-03 15:57:11,5201805030565                 ,何明明,1,1,,0,0,0,0,1,0,0,南超,午班,pos5,,0
2018-05-03 16:01:10,5201805030570                 ,何明明,4.4,4.4,,0,0,0,0,4.4,0,0,南超,午班,pos5,,0
2018-05-03 16:04:16,5201805030575                 ,何明明,3,3,,0,0,0,0,3,0,0,南超,午班,pos5,,0
2018-05-03 16:05:51,5201805030577                 ,何明明,4,4,,0,0,0,0,4,0,0,南超,午班,pos5,,0
2018-05-03 16:12:21,5201805030584                 ,何明明,10.8,10.8,,0,0,0,0,10.8,0,0,南超,午班,pos5,,0
2018-05-03 16:12:52,5201805030585                 ,何明明,2.3,2.3,,0,0,0,0,2.3,0,0,南超,午班,pos5,,0
2018-05-03 16:13:00,5201805030586                 ,何明明,6,6,,0,0,0,0,6,0,0,南超,午班,pos5,,0
2018-05-03 16:14:23,5201805030588                 ,何明明,4,4,,0,0,0,0,4,0,0,南超,午班,pos5,,0
2018-05-03 16:21:14,5201805030595                 ,何明明,28.2,28.2,,0,0,0,0,28.2,0,0,南超,午班,pos5,,0
2018-05-03 16:22:05,5201805030598                 ,何明明,4,4,,0,0,0,0,4,0,0,南超,午班,pos5,,0
2018-05-03 16:23:24,5201805030600                 ,何明明,14.2,14.2,,0,0,0,0,14.2,0,0,南超,午班,pos5,,0
2018-05-03 16:23:48,5201805030601                 ,何明明,3.2,3.2,,0,0,0,0,3.2,0,0,南超,午班,pos5,,0
2018-05-03 16:25:24,5201805030609                 ,何明明,18,18,,0,0,0,0,18,0,0,南超,午班,pos5,,0
2018-05-03 16:25:42,5201805030610                 ,何明明,11,11,,0,0,0,0,11,0,0,南超,午班,pos5,,0
2018-05-03 16:29:22,5201805030620                 ,何明明,30.5,30.5,,0,0,0,0,30.5,0,0,南超,午班,pos5,,0
2018-05-03 16:31:23,5201805030624                 ,何明明,4.8,4.8,,0,0,0,0,4.8,0,0,南超,午班,pos5,,0
2018-05-03 16:36:09,5201805030642                 ,何明明,10,10,,0,0,0,0,10,0,0,南超,午班,pos5,,0
2018-05-03 16:36:24,5201805030643                 ,何明明,5,5,,0,0,0,0,5,0,0,南超,午班,pos5,,0
2018-05-03 16:37:47,5201805030644                 ,何明明,4,4,,0,0,0,0,4,0,0,南超,午班,pos5,,0
2018-05-03 16:38:00,5201805030646                 ,何明明,25.5,25.5,,0,0,0,0,25.5,0,0,南超,午班,pos5,,0
2018-05-03 16:40:22,5201805030651                 ,何明明,14.5,14.5,,0,0,0,0,14.5,0,0,南超,午班,pos5,,0
2018-05-03 16:56:37,5201805030676                 ,何明明,5,5,,0,0,0,0,5,0,0,南超,午班,pos5,,0
2018-05-03 17:00:06,5201805030686                 ,何明明,6,6,,0,0,0,0,6,0,0,南超,午班,pos5,,0
2018-05-03 17:12:00,5201805030707                 ,何明明,5.4,5.4,,0,0,0,0,5.4,0,0,南超,午班,pos5,,0
2018-05-03 17:20:17,5201805030720                 ,何明明,27.3,27.3,,0,0,0,0,27.3,0,0,南超,晚班,pos5,,0
2018-05-03 17:23:32,5201805030729                 ,何明明,18.2,18.2,,0,0,0,0,18.2,0,0,南超,晚班,pos5,,0
2018-05-03 17:23:53,5201805030730                 ,何明明,10.8,10.8,,0,0,0,0,10.8,0,0,南超,晚班,pos5,,0
